State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Other,Tier 2 city,Pharmacy / Medical Store,1 store,2000–5000,Excel / spreadsheets,Software analytics,Monthly,Rarely,Less than 5%,More than 20 suppliers,Highly variable,Medicines / healthcare products,Festivals,Slight increase,Sometimes,Medicines + health supplements,Less than 1 year,Distributor recommendation,Not comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Likely
West Bengal,Tier 2 city,Apparel / Fashion,2–5 stores,500–2000,Combination of multiple tools,Software analytics,Rarely,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Slight increase,Yes frequently,Other,Less than 1 year,Store owner,Very comfortable,Supplier performance insights,More than ₹50 lakh,₹3000–₹7000,Increased revenue,Unlikely
Delhi/NCR,Tier 2 city,Electronics,11–25 stores,Less than 500,POS or billing software,Supplier recommendations,Rarely,Occasionally,More than 30%,4–10 suppliers,Highly variable,Electronics,Promotions / discounts,Slight increase,Sometimes,Other,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹5–10 lakh,Less than ₹1000,Increased revenue,Likely
Telangana,Tier 2 city,Electronics,1 store,Less than 500,ERP or inventory management software,Past experience / intuition,Weekly,Rarely,10–20%,10–20 suppliers,1–2 days,Electronics,Social media trends,Difficult to predict,Yes frequently,Other,No digital data,Store owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Increased revenue,Likely
Gujarat,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,20–30%,4–10 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Yes frequently,Other,No digital data,Store owner,Not comfortable,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Lower inventory cost,Likely
Maharashtra,Tier 2 city,Grocery / Supermarket,25+ stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Rarely,Rarely,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Very comfortable,Demand forecasting,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Likely
West Bengal,Tier 3 city / small town,Grocery / Supermarket,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Rarely,Occasionally,5–10%,4–10 suppliers,Same day,FMCG / grocery items,Seasonal weather,Difficult to predict,Sometimes,Rice + cooking oil,1–3 years,Operations manager,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Likely
Rajasthan,Tier 2 city,Beauty / Cosmetics,2–5 stores,Less than 500,Excel / spreadsheets,Software analytics,Daily,Rarely,10–20%,4–10 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Slight increase,Yes frequently,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Supplier performance insights,Less than ₹1 lakh,Less than ₹1000,Lower inventory cost,Maybe
Gujarat,Tier 2 city,Apparel / Fashion,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Almost never,Rarely,10–20%,4–10 suppliers,1–2 days,Apparel / clothing,Festivals,Increases significantly,Sometimes,Saree + blouse,Less than 1 year,Store owner,Neutral,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Unlikely
Uttar Pradesh,Tier 1 city,Beauty / Cosmetics,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,Less than 5%,4–10 suppliers,1–2 days,Beauty / cosmetics,Promotions / discounts,Increases significantly,Sometimes,Shampoo + conditioner,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,More than ₹50 lakh,₹7000–₹15000,Reduced stockouts,Maybe
Rajasthan,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,POS or billing software,Sales reports / historical data,Rarely,Never,5–10%,4–10 suppliers,1 week,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Sometimes,Other,More than 3 years,Store owner,Neutral,Demand forecasting,Less than ₹1 lakh,More than ₹15000,Lower inventory cost,Unlikely
Maharashtra,Tier 2 city,Beauty / Cosmetics,1 store,500–2000,POS or billing software,Sales reports / historical data,Monthly,Never,20–30%,1–3 suppliers,1–2 days,Beauty / cosmetics,Festivals,Increases significantly,Yes frequently,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Neutral,Demand forecasting,₹10–50 lakh,₹1000–₹3000,Better supplier management,Very likely
Gujarat,Rural,Pharmacy / Medical Store,1 store,More than 10000,Excel / spreadsheets,Supplier recommendations,Weekly,Occasionally,Less than 5%,10–20 suppliers,3–5 days,Medicines / healthcare products,Promotions / discounts,Slight increase,Sometimes,Other,More than 3 years,Head office / franchise owner,Neutral,Promotion demand prediction,₹1–5 lakh,More than ₹15000,Better supplier management,Likely
Gujarat,Tier 2 city,Apparel / Fashion,2–5 stores,500–2000,POS or billing software,Combination of methods,Daily,Occasionally,10–20%,1–3 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Increases significantly,Sometimes,Saree + blouse,No digital data,Store owner,Somewhat comfortable,Automatic reorder suggestions,More than ₹50 lakh,₹1000–₹3000,Increased revenue,Maybe
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,2–5 stores,2000–5000,ERP or inventory management software,Sales reports / historical data,Rarely,Occasionally,10–20%,4–10 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Sometimes,Medicines + health supplements,1–3 years,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Likely
Gujarat,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Excel / spreadsheets,Sales reports / historical data,Rarely,Rarely,10–20%,10–20 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Snacks + beverages,More than 3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Increased revenue,Definitely not
Uttar Pradesh,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Combination of multiple tools,Supplier recommendations,Almost never,Occasionally,10–20%,More than 20 suppliers,1 week,FMCG / grocery items,Seasonal weather,Increases significantly,Yes frequently,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Unlikely
Delhi/NCR,Tier 2 city,Pharmacy / Medical Store,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Daily,Rarely,20–30%,1–3 suppliers,1–2 days,Medicines / healthcare products,Seasonal weather,No change,Yes frequently,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Tamil Nadu,Rural,Grocery / Supermarket,1 store,Less than 500,Manual notebook / paper records,Sales reports / historical data,Almost never,Very frequently,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,No change,Sometimes,Rice + cooking oil,Less than 1 year,Store owner,Very comfortable,Supplier performance insights,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Definitely not
Rajasthan,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,Combination of multiple tools,Sales reports / historical data,Weekly,Occasionally,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Festivals,Increases significantly,Yes frequently,Snacks + beverages,More than 3 years,Operations manager,Neutral,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Better supplier management,Likely
Delhi/NCR,Tier 3 city / small town,General Store / Kirana,2–5 stores,500–2000,ERP or inventory management software,Sales reports / historical data,Weekly,Occasionally,10–20%,1–3 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Yes frequently,Rice + cooking oil,No digital data,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹7000–₹15000,Lower inventory cost,Likely
Maharashtra,Tier 1 city,Beauty / Cosmetics,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Rarely,Very frequently,20–30%,1–3 suppliers,1 week,Beauty / cosmetics,Promotions / discounts,Increases significantly,Rarely,Shampoo + conditioner,Less than 1 year,Head office / franchise owner,Not comfortable,Supplier performance insights,More than ₹50 lakh,₹1000–₹3000,Better supplier management,Unlikely
Telangana,Tier 2 city,Grocery / Supermarket,2–5 stores,500–2000,Manual notebook / paper records,Combination of methods,Rarely,Occasionally,Less than 5%,10–20 suppliers,1–2 days,FMCG / grocery items,Social media trends,No change,Yes frequently,Rice + cooking oil,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹1000–₹3000,Reduced stockouts,Likely
Uttar Pradesh,Tier 1 city,General Store / Kirana,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Rarely,Never,10–20%,More than 20 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Difficult to predict,Yes frequently,Snacks + beverages,No digital data,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹3000–₹7000,Reduced stockouts,Likely
Gujarat,Tier 1 city,Beauty / Cosmetics,6–10 stores,5000–10000,Manual notebook / paper records,Past experience / intuition,Almost never,Rarely,10–20%,1–3 suppliers,Same day,Beauty / cosmetics,Regular repeat customers,Slight increase,Rarely,Shampoo + conditioner,Less than 1 year,Store owner,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Other,Tier 1 city,Pharmacy / Medical Store,1 store,2000–5000,ERP or inventory management software,Combination of methods,Rarely,Rarely,5–10%,4–10 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Increases significantly,Sometimes,Medicines + health supplements,1–3 years,Operations manager,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Increased revenue,Very likely
West Bengal,Tier 1 city,General Store / Kirana,1 store,500–2000,POS or billing software,Sales reports / historical data,Rarely,Rarely,5–10%,4–10 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Snacks + beverages,1–3 years,Store owner,Very comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Likely
Uttar Pradesh,Tier 3 city / small town,Electronics,1 store,500–2000,POS or billing software,Sales reports / historical data,Almost never,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Electronics,Regular repeat customers,Difficult to predict,Sometimes,Other,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Automated purchasing,Definitely not
Tamil Nadu,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Manual notebook / paper records,Past experience / intuition,Monthly,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Festivals,No change,Sometimes,Rice + cooking oil,No digital data,Store owner,Neutral,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Definitely not
Maharashtra,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,2000–5000,Combination of multiple tools,Combination of methods,Weekly,Rarely,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Yes frequently,Other,More than 3 years,Store owner,Neutral,Promotion demand prediction,₹1–5 lakh,₹3000–₹7000,Increased revenue,Definitely not
Delhi/NCR,Tier 3 city / small town,Grocery / Supermarket,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Almost never,Very frequently,20–30%,More than 20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Slight increase,Rarely,Other,Less than 1 year,Store owner,Neutral,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Increased revenue,Unlikely
Gujarat,Tier 1 city,Apparel / Fashion,2–5 stores,5000–10000,ERP or inventory management software,Past experience / intuition,Monthly,Occasionally,Less than 5%,4–10 suppliers,Highly variable,Apparel / clothing,Social media trends,Increases significantly,Yes frequently,Other,1–3 years,Store owner,Neutral,Promotion demand prediction,₹1–5 lakh,More than ₹15000,Reduced stockouts,Definitely not
Karnataka,Tier 1 city,Electronics,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Monthly,Rarely,Less than 5%,1–3 suppliers,1–2 days,Electronics,Festivals,Increases significantly,Never,Other,1–3 years,Operations manager,Neutral,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Very likely
West Bengal,Rural,Electronics,1 store,500–2000,Manual notebook / paper records,Combination of methods,Rarely,Rarely,5–10%,10–20 suppliers,3–5 days,Electronics,Regular repeat customers,Slight increase,Never,Other,Less than 1 year,Operations manager,Somewhat comfortable,Supplier performance insights,₹10–50 lakh,Less than ₹1000,Better supplier management,Unlikely
Tamil Nadu,Tier 1 city,Pharmacy / Medical Store,11–25 stores,2000–5000,POS or billing software,Past experience / intuition,Monthly,Occasionally,Less than 5%,10–20 suppliers,3–5 days,Medicines / healthcare products,Festivals,No change,Yes frequently,Medicines + health supplements,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Maybe
Maharashtra,Tier 3 city / small town,Apparel / Fashion,1 store,Less than 500,ERP or inventory management software,Combination of methods,Rarely,Rarely,20–30%,4–10 suppliers,3–5 days,Apparel / clothing,Festivals,Slight increase,Yes frequently,Other,No digital data,Operations manager,Not comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Lower inventory cost,Definitely not
Rajasthan,Tier 1 city,Electronics,2–5 stores,500–2000,POS or billing software,Software analytics,Rarely,Occasionally,20–30%,4–10 suppliers,1–2 days,Electronics,Seasonal weather,Slight increase,Yes frequently,Other,More than 3 years,Operations manager,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹7000–₹15000,Increased revenue,Maybe
Delhi/NCR,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,POS or billing software,Sales reports / historical data,Rarely,Never,5–10%,10–20 suppliers,1 week,FMCG / grocery items,Festivals,Difficult to predict,Sometimes,Rice + cooking oil,More than 3 years,IT team,Neutral,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Automated purchasing,Likely
Karnataka,Tier 2 city,Pharmacy / Medical Store,1 store,2000–5000,Combination of multiple tools,Software analytics,Monthly,Occasionally,10–20%,4–10 suppliers,1 week,Medicines / healthcare products,Promotions / discounts,Slight increase,Sometimes,Other,More than 3 years,Operations manager,Not comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Very likely
Gujarat,Tier 1 city,Pharmacy / Medical Store,2–5 stores,Less than 500,Excel / spreadsheets,Combination of methods,Almost never,Very frequently,Less than 5%,More than 20 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Yes frequently,Medicines + health supplements,No digital data,Distributor recommendation,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Gujarat,Tier 2 city,Apparel / Fashion,1 store,2000–5000,POS or billing software,Past experience / intuition,Almost never,Occasionally,5–10%,1–3 suppliers,1–2 days,Apparel / clothing,Seasonal weather,Slight increase,Rarely,Other,1–3 years,Store owner,Neutral,Supplier performance insights,₹5–10 lakh,Less than ₹1000,Increased revenue,Maybe
Karnataka,Tier 1 city,Other,1 store,500–2000,Combination of multiple tools,Combination of methods,Rarely,Rarely,10–20%,4–10 suppliers,3–5 days,Electronics,Seasonal weather,Increases significantly,Sometimes,Other,1–3 years,Store owner,Very comfortable,Automatic reorder suggestions,₹10–50 lakh,Less than ₹1000,Reduced stockouts,Likely
Delhi/NCR,Tier 1 city,Pharmacy / Medical Store,25+ stores,500–2000,POS or billing software,Sales reports / historical data,Weekly,Occasionally,5–10%,1–3 suppliers,1–2 days,Medicines / healthcare products,Social media trends,Increases significantly,Yes frequently,Medicines + health supplements,1–3 years,Store owner,Very comfortable,Inventory alerts,Less than ₹1 lakh,₹7000–₹15000,Automated purchasing,Likely
Rajasthan,Tier 3 city / small town,Beauty / Cosmetics,6–10 stores,500–2000,Excel / spreadsheets,Combination of methods,Weekly,Rarely,5–10%,More than 20 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Slight increase,Never,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Very comfortable,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Better supplier management,Likely
Delhi/NCR,Tier 3 city / small town,Apparel / Fashion,2–5 stores,500–2000,Manual notebook / paper records,Software analytics,Daily,Occasionally,5–10%,4–10 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Sometimes,Other,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Likely
Karnataka,Tier 2 city,Grocery / Supermarket,2–5 stores,2000–5000,Excel / spreadsheets,Combination of methods,Rarely,Rarely,5–10%,1–3 suppliers,1–2 days,FMCG / grocery items,Social media trends,Increases significantly,Never,Other,More than 3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Unlikely
Delhi/NCR,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,Less than 500,Combination of multiple tools,Combination of methods,Monthly,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Slight increase,Yes frequently,Snacks + beverages,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Maybe
Tamil Nadu,Tier 3 city / small town,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Rarely,Very frequently,10–20%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Difficult to predict,Sometimes,Rice + cooking oil,Less than 1 year,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Increased revenue,Unlikely
Rajasthan,Tier 1 city,Grocery / Supermarket,1 store,5000–10000,Excel / spreadsheets,Supplier recommendations,Rarely,Very frequently,More than 30%,1–3 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Rice + cooking oil,More than 3 years,Operations manager,Neutral,Demand forecasting,More than ₹50 lakh,₹3000–₹7000,Reduced stockouts,Very likely
Tamil Nadu,Tier 3 city / small town,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Sales reports / historical data,Monthly,Rarely,10–20%,4–10 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,No change,Rarely,Rice + cooking oil,More than 3 years,Distributor recommendation,Somewhat comfortable,Supplier performance insights,More than ₹50 lakh,Less than ₹1000,Increased revenue,Definitely not
West Bengal,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,Manual notebook / paper records,Combination of methods,Monthly,Occasionally,5–10%,1–3 suppliers,Highly variable,FMCG / grocery items,Seasonal weather,Difficult to predict,Yes frequently,Snacks + beverages,More than 3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Likely
Other,Tier 2 city,Other,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Almost never,Occasionally,Less than 5%,10–20 suppliers,1–2 days,Electronics,Festivals,Slight increase,Yes frequently,Other,More than 3 years,Operations manager,Neutral,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Other,Tier 3 city / small town,Apparel / Fashion,11–25 stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Weekly,Occasionally,20–30%,10–20 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Slight increase,Yes frequently,Saree + blouse,1–3 years,Store owner,Not comfortable,Supplier performance insights,₹5–10 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Delhi/NCR,Tier 1 city,Electronics,2–5 stores,2000–5000,POS or billing software,Combination of methods,Rarely,Very frequently,5–10%,10–20 suppliers,1–2 days,Electronics,Promotions / discounts,Difficult to predict,Rarely,Other,More than 3 years,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,Less than ₹1000,Automated purchasing,Likely
Telangana,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Manual notebook / paper records,Combination of methods,Monthly,Rarely,5–10%,1–3 suppliers,Same day,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Rice + cooking oil,Less than 1 year,Operations manager,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,₹3000–₹7000,Increased revenue,Definitely not
Uttar Pradesh,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Monthly,Very frequently,20–30%,10–20 suppliers,Same day,Medicines / healthcare products,Promotions / discounts,Increases significantly,Yes frequently,Medicines + health supplements,More than 3 years,Store owner,Neutral,Demand forecasting,₹10–50 lakh,₹1000–₹3000,Better supplier management,Maybe
Maharashtra,Tier 3 city / small town,Apparel / Fashion,2–5 stores,Less than 500,Manual notebook / paper records,Supplier recommendations,Weekly,Very frequently,5–10%,More than 20 suppliers,1–2 days,Apparel / clothing,Seasonal weather,Difficult to predict,Sometimes,Saree + blouse,More than 3 years,Operations manager,Neutral,Inventory alerts,Less than ₹1 lakh,₹3000–₹7000,Lower inventory cost,Unlikely
Uttar Pradesh,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,Combination of multiple tools,Combination of methods,Weekly,Occasionally,5–10%,10–20 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Difficult to predict,Sometimes,Saree + blouse,No digital data,Operations manager,Neutral,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
Uttar Pradesh,Rural,Apparel / Fashion,1 store,Less than 500,Combination of multiple tools,Software analytics,Monthly,Very frequently,Less than 5%,1–3 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Increases significantly,Sometimes,Saree + blouse,More than 3 years,Distributor recommendation,Neutral,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Increased revenue,Unlikely
Telangana,Tier 3 city / small town,Apparel / Fashion,6–10 stores,Less than 500,Manual notebook / paper records,Sales reports / historical data,Rarely,Occasionally,5–10%,10–20 suppliers,Highly variable,Apparel / clothing,Promotions / discounts,Difficult to predict,Yes frequently,Saree + blouse,More than 3 years,Operations manager,Neutral,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Lower inventory cost,Likely
Karnataka,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,Combination of multiple tools,Past experience / intuition,Daily,Occasionally,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Yes frequently,Snacks + beverages,1–3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Better supplier management,Very likely
Delhi/NCR,Tier 1 city,Apparel / Fashion,1 store,5000–10000,Combination of multiple tools,Past experience / intuition,Weekly,Rarely,10–20%,4–10 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Increases significantly,Yes frequently,Saree + blouse,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,More than ₹15000,Increased revenue,Unlikely
Maharashtra,Tier 3 city / small town,Pharmacy / Medical Store,2–5 stores,2000–5000,POS or billing software,Combination of methods,Weekly,Never,5–10%,1–3 suppliers,3–5 days,Medicines / healthcare products,Festivals,Slight increase,Yes frequently,Medicines + health supplements,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Delhi/NCR,Tier 2 city,Beauty / Cosmetics,6–10 stores,More than 10000,POS or billing software,Sales reports / historical data,Rarely,Occasionally,10–20%,4–10 suppliers,1–2 days,Beauty / cosmetics,Seasonal weather,Slight increase,Sometimes,Shampoo + conditioner,Less than 1 year,Store owner,Somewhat comfortable,Demand forecasting,₹10–50 lakh,Less than ₹1000,Better supplier management,Likely
West Bengal,Tier 1 city,General Store / Kirana,2–5 stores,Less than 500,Combination of multiple tools,Supplier recommendations,Monthly,Rarely,10–20%,10–20 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Difficult to predict,Sometimes,Snacks + beverages,1–3 years,Head office / franchise owner,Neutral,Inventory alerts,₹5–10 lakh,Less than ₹1000,Lower inventory cost,Maybe
West Bengal,Rural,Grocery / Supermarket,1 store,2000–5000,Manual notebook / paper records,Past experience / intuition,Weekly,Very frequently,20–30%,10–20 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Rice + cooking oil,1–3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Very likely
Delhi/NCR,Tier 2 city,Grocery / Supermarket,2–5 stores,Less than 500,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,Less than 5%,1–3 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Increases significantly,Sometimes,Rice + cooking oil,More than 3 years,Store owner,Very comfortable,Demand forecasting,Less than ₹1 lakh,More than ₹15000,Reduced stockouts,Maybe
West Bengal,Tier 2 city,Beauty / Cosmetics,1 store,5000–10000,ERP or inventory management software,Sales reports / historical data,Rarely,Occasionally,5–10%,10–20 suppliers,Highly variable,Beauty / cosmetics,Promotions / discounts,Increases significantly,Never,Other,1–3 years,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Likely
Karnataka,Tier 1 city,Apparel / Fashion,1 store,5000–10000,Combination of multiple tools,Supplier recommendations,Rarely,Rarely,Less than 5%,10–20 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Slight increase,Yes frequently,Saree + blouse,More than 3 years,IT team,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Better supplier management,Likely
West Bengal,Tier 1 city,General Store / Kirana,11–25 stores,Less than 500,Combination of multiple tools,Combination of methods,Rarely,Rarely,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,Increases significantly,Sometimes,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Better supplier management,Unlikely
Uttar Pradesh,Rural,Pharmacy / Medical Store,25+ stores,500–2000,ERP or inventory management software,Supplier recommendations,Weekly,Rarely,20–30%,10–20 suppliers,Highly variable,Medicines / healthcare products,Regular repeat customers,Slight increase,Rarely,Medicines + health supplements,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Maybe
Uttar Pradesh,Tier 3 city / small town,Beauty / Cosmetics,6–10 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,10–20%,4–10 suppliers,3–5 days,Beauty / cosmetics,Festivals,Increases significantly,Sometimes,Shampoo + conditioner,More than 3 years,IT team,Not comfortable,Supplier performance insights,More than ₹50 lakh,₹3000–₹7000,Better supplier management,Likely
West Bengal,Tier 1 city,Apparel / Fashion,1 store,5000–10000,Manual notebook / paper records,Combination of methods,Almost never,Rarely,Less than 5%,10–20 suppliers,3–5 days,Apparel / clothing,Seasonal weather,Slight increase,Yes frequently,Saree + blouse,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,More than ₹50 lakh,₹3000–₹7000,Lower inventory cost,Very likely
